PROJECT NAME, INSTANCE NAME , ZONE
ld-ds-rmp-sandbox,bb-analysis,us-east1-b
ld-ds-rmp-sandbox,bb-analysis-16-60-basic,us-east1-b
ld-ds-rmp-sandbox,bb-analysis-16-60g,us-east1-b
ld-ds-rmp-sandbox,maryam-test,us-east1-b
loblaw-dna-hadoop-dev1,vltdpoc01,northamerica-northeast1-a
lt-adp-exp-attunitypoc,att-poc-mig-001-vm-001,northamerica-northeast1-a
lt-adp-exp-attunitypoc,att-poc-mig-002-vm-001,northamerica-northeast1-b
lt-adp-exp-attunitypoc,vladpattexp001,northamerica-northeast1-b
lt-adp-exp-attunitypoc,vladpattexp003,northamerica-northeast1-b
lt-adp-exp-hdps,vladphdpsexp001,northamerica-northeast1-b
lt-adp-exp-mstr,vladpmstrexp001,northamerica-northeast1-b
lt-adp-exp-mstr,vladpmstrexp002,northamerica-northeast1-b
lt-adp-exp-mstr,vwadpmstrexp001,northamerica-northeast1-b
lt-adp-exp-ppsapp,vlppsadpexp001,northamerica-northeast1-a
lt-adp-exp-ppsapp,vwinserexp001,northamerica-northeast1-a
lt-adp-prd,vlbatch360prd001,northamerica-northeast1-b
lt-adp-prd,vwinserprd001,northamerica-northeast1-b
lt-adp-prd,vwinserval001,northamerica-northeast1-b
lt-adp-prd-mstr,vladpmstrprd001,northamerica-northeast1-b
lt-adp-prd-mstr,vladpmstrprd003,northamerica-northeast1-b
lt-adp-prd-mstr,vwadpmstrprd001,northamerica-northeast1-b
lt-adp-prd-mstr,vladpmstrprd002,northamerica-northeast1-c
lt-adp-prd-ppsapp,vlppsadpprd001,northamerica-northeast1-a
lt-adp-prd-ppsapp,vwppsadpprd001,northamerica-northeast1-a
lt-adp-prd-shnpbigwy,vwshnbigwprd002,northamerica-northeast1-b
lt-adp-preprd-mstr,vladpmstrpreprd001,northamerica-northeast1-a
lt-adp-preprd-mstr,vwadpmstrpreprd001,northamerica-northeast1-a
lt-adp-td-etl-prd,vltdetljdbcprd001,northamerica-northeast1-b
lt-adp-td-etl-prd,vltdetljdbcprd002,northamerica-northeast1-b
lt-adp-td-etl-prd,vltdetloracleprd001,northamerica-northeast1-b
lt-adp-td-etl-prd,vltdetloracleprd002,northamerica-northeast1-b
lt-adp-td-etl-prd,vltdprd001,northamerica-northeast1-b
lt-adp-val-mstr,vladpmstrval001,northamerica-northeast1-b
lt-aps-dndo-upr,vldndoexp001,northamerica-northeast1-b
lt-aps-etl-prd,att-pool1-lt-aps-etl-prd-runner-autoscaler-0,northamerica-northeast1-b
lt-aps-etl-prd,pool1-v20210121-1668792350-f95725bc,northamerica-northeast1-b
lt-aps-etl-prd,vltdanspr001,northamerica-northeast1-b
lt-aps-etl-prd,vltddbapr001,northamerica-northeast1-b
lt-aps-etl-prd,vltdpr001,northamerica-northeast1-b
lt-aps-mstr-sbx,vlmstrsbx001,northamerica-northeast1-b
lt-aps-mstr-sbx,vlmstrsbx002,northamerica-northeast1-b
lt-aps-mstr-sbx,vlmstrsbx003,northamerica-northeast1-b
lt-aps-mstr-sbx,vwmstrsbx001,northamerica-northeast1-b
lt-aps-sas-exp,vlpyexp001,northamerica-northeast1-b
lt-aps-sas-exp,vlsasexp001,northamerica-northeast1-b
lt-aps-sas-exp,vlsasexp002,northamerica-northeast1-b
lt-aps-sas-exp,vlsasexp003,northamerica-northeast1-b
lt-aps-sas-upr,vlsaspr001,northamerica-northeast1-b
lt-aps-sas-upr,vlsaspr002,northamerica-northeast1-b
lt-aps-sas-upr,vlsaspr003,northamerica-northeast1-b
lt-aps-sbx,alirezatemp1,us-east1-b
lt-aps-sbx,alirezatf1,us-east1-b
lt-aps-sbx,pgclient,us-east1-b
lt-aps-sbx,abitest,northamerica-northeast1-a
lt-aps-sbx,ka-test-pythonmrg-srvr,northamerica-northeast1-a
lt-aps-sbx,test1,northamerica-northeast1-a
lt-aps-sbx,validatejsonkey,northamerica-northeast1-a
lt-aps-sbx,resize-instance-test,northamerica-northeast1-b
lt-aps-sre,test-scheduler,northamerica-northeast1-a
lt-aps-td-etl-prd,aps-pythonsrvr-prd-001,northamerica-northeast1-a
lt-aps-td-etl-prd,aps-pythonsrvr-vxnb-02,northamerica-northeast1-b
lt-aps-td-etl-prd,vltdetlprd001,northamerica-northeast1-b
